Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
08/10/2019 03:30:00 PM,08/10/2019 03:45:00 PM,Staten Island,Willowbrook Park,By maintenance building.,Domestic Rabbit,Employee,Domestic,Healthy,1,Adult,Domestic,3-1100342613,ACC,1,false,false,,,false,false,72117
08/09/2019 02:30:00 PM,08/09/2019 02:35:00 PM,Queens,Queens Botanical Garden,Near Visitor Center,Great Blue Heron,Employee,Native,Injured,4,Adult,Birds,311-00342099,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
08/08/2019 04:00:00 PM,08/09/2019 01:07:00 PM,Queens,Cunningham Park,Behind the Tennis Center,Guineafowl,Employee,Domestic,Healthy,1,Adult,Domestic;#Birds,,Unfounded,0,false,false,,,false,false,
08/08/2019 09:00:00 PM,08/09/2019 03:40:00 PM,Manhattan,Central Park,59th Street Pond,Domestic Duck,Other,Domestic,N/A,0.5,Adult,Domestic;#Birds,,Monitored Animal,1,false,true,,0.5,false,false,
08/08/2019 09:00:00 PM,08/09/2019 10:00:00 AM,Manhattan,Central Park,"59th Street Pond, near Gapstow Bridge",Domestic Duck,Public,Domestic,N/A,2,Adult,Domestic;#Birds,311-00340861,Rehabilitator,2,false,false,Wild Bird Fund,,false,false,
08/05/2019 12:00:00 PM,08/05/2019 12:00:00 PM,Brooklyn,Marine Park,North side of Avenue U,Herring Gull,Public,Native,Healthy,0.5,Adult,Birds,,Relocated/Condition Corrected,1,false,true,,0.5,false,false,
08/06/2019 03:45:00 PM,08/06/2019 04:00:00 PM,Brooklyn,Fresh Creek Nature Preserve,E 108th and Seaview,Snake (Unknown),Central,N/A,N/A,0.75,Adult,Terrestrial Reptile or Amphibian,,Unfounded,0,false,false,,,false,false,
08/05/2019 01:42:00 PM,08/05/2019 02:00:00 PM,Manhattan,Riverside Park,68 street and Riverside Blvd.,Beaver,Central,Native,N/A,1,Adult,Small Mammals-non RVS,311-00308860,Unfounded,0,false,false,,,false,false,
08/04/2019 03:30:00 PM,08/04/2019 03:35:00 PM,Bronx,Pelham Bay Park,"Playground for All Children, Bruckner Blvd and Wiilkinson Ave",Cockatiel,Public,Domestic,Healthy,2,Adult,Birds,311-00302785,Rehabilitator,1,false,false,The Center for Avian & Exotic Medicine,,false,false,
08/03/2019 03:30:00 PM,08/03/2019 04:00:00 PM,Bronx,Orchard Beach,Bus Stop,Raccoon,Employee,Native,Healthy,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.5,false,false,
08/02/2019 03:15:00 PM,08/02/2019 03:30:00 PM,Staten Island,Willowbrook Park,In pond near comfort station,Bird (Unknown),Public,Native,Healthy,0.5,Adult,Birds,,Unfounded,0,false,false,,,false,false,
08/03/2019 12:36:00 PM,08/03/2019 12:57:00 PM,Brooklyn,Marine Park,Near Burnett Street and Whitney Avenue,Virginia Opossum,Public,Native,Healthy,2,Infant,Small Mammals-non RVS,311-00294814,ACC,1,false,false,,,false,false,71373
08/03/2019 08:55:00 AM,08/03/2019 09:00:00 AM,Brooklyn,Marine Park,Corner of Burnett St and Ave U,White-winged Scoter,Public,Native,Injured,1.5,Adult,Birds,311-00293270,ACC,1,false,false,,,false,false,71328
08/02/2019 09:00:00 AM,08/02/2019 10:00:00 AM,Brooklyn,Prospect Park,Long Meadow Ballfields,Eastern Gray Squirrel,"Conservancies/""Friends of"" Groups",Native,DOA,4,Adult,Small Mammals-non RVS,311-00288536,Submitted for DEC Testing,1,false,false,,,false,false,
08/02/2019 11:30:00 AM,08/02/2019 11:45:00 AM,Manhattan,Central Park,Bernard Family Playground by 106 St./ 5 ave,Eastern Gray Squirrel,"Conservancies/""Friends of"" Groups",Native,Injured,1,Adult,Small Mammals-non RVS,311-00286932,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
08/02/2019 10:00:00 AM,08/02/2019 10:10:00 AM,Manhattan,Chelsea Park,27 St./ 9 ave behind the health clinic,Herring Gull,Public,Native,Injured,0.1,Adult,Birds,,Advised/Educated others,1,false,false,,,false,false,
08/01/2019 05:12:00 PM,08/01/2019 05:14:00 PM,Manhattan,Central Park,Bernard Family Playground - 108th St 5th Avenue,Eastern Gray Squirrel,"Conservancies/""Friends of"" Groups",Native,Injured,0.25,Adult,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
